Campus,Curso,Periodo_dia,Horario,Semestre,Dia,Periodo_Aula,Tipo_Curso,Materia,Professor,Observacao,Semestre_Curso
MIRASOL,EAQ,MANHA,3.0,5.0,TERCA,MATUTINO,INTEGRAL MT,TOPOGRAFIA,BERNARDINO,,5_EAQ
MIRASOL,EAQ,MANHA,4.0,5.0,TERCA,MATUTINO,INTEGRAL MT,TOPOGRAFIA,BERNARDINO,,5_EAQ
MIRASOL,EAQ,MANHA,1.0,5.0,QUARTA,MATUTINO,INTEGRAL MT,ALGICULTURA,MAFRA,,5_EAQ
MIRASOL,EAQ,MANHA,2.0,5.0,QUARTA,MATUTINO,INTEGRAL MT,ALGICULTURA,MAFRA,,5_EAQ
MIRASOL,EAQ,MANHA,3.0,5.0,QUARTA,MATUTINO,INTEGRAL MT,ALGICULTURA,MAFRA,,5_EAQ
MIRASOL,EAQ,MANHA,4.0,5.0,QUARTA,MATUTINO,INTEGRAL MT,ALGICULTURA,MAFRA,,5_EAQ
MIRASOL,EAQ,MANHA,1.0,5.0,QUINTA,MATUTINO,INTEGRAL MT,ELETRICIDADE PARA ENGENHARIA DE AQUICULTURA,JULIANA,,5_EAQ
MIRASOL,EAQ,MANHA,2.0,5.0,QUINTA,MATUTINO,INTEGRAL MT,ELETRICIDADE PARA ENGENHARIA DE AQUICULTURA,JULIANA,,5_EAQ
MIRASOL,EAQ,MANHA,3.0,5.0,QUINTA,MATUTINO,INTEGRAL MT,ELETRICIDADE PARA ENGENHARIA DE AQUICULTURA,JULIANA,,5_EAQ
MIRASOL,EAQ,MANHA,4.0,5.0,QUINTA,MATUTINO,INTEGRAL MT,ELETRICIDADE PARA ENGENHARIA DE AQUICULTURA,JULIANA,,5_EAQ
MIRASOL,EAQ,MANHA,1.0,7.0,SEGUNDA,MATUTINO,INTEGRAL MT,CARCINOCULTURA,UBIRATA,,7_EAQ
MIRASOL,EAQ,MANHA,2.0,7.0,SEGUNDA,MATUTINO,INTEGRAL MT,CARCINOCULTURA,UBIRATA,,7_EAQ
MIRASOL,EAQ,MANHA,3.0,7.0,SEGUNDA,MATUTINO,INTEGRAL MT,CARCINOCULTURA,UBIRATA,,7_EAQ
MIRASOL,EAQ,MANHA,4.0,7.0,SEGUNDA,MATUTINO,INTEGRAL MT,CARCINOCULTURA,UBIRATA,,7_EAQ
MIRASOL,EAQ,MANHA,1.0,7.0,TERCA,MATUTINO,INTEGRAL MT,CARTOGRAFIA,DIANA,,7_EAQ
MIRASOL,EAQ,MANHA,2.0,7.0,TERCA,MATUTINO,INTEGRAL MT,CARTOGRAFIA,DIANA,,7_EAQ
MIRASOL,EAQ,MANHA,3.0,7.0,TERCA,MATUTINO,INTEGRAL MT,CARTOGRAFIA,DIANA,,7_EAQ
MIRASOL,EAQ,MANHA,4.0,7.0,TERCA,MATUTINO,INTEGRAL MT,CARTOGRAFIA,DIANA,,7_EAQ
MIRASOL,EAQ,MANHA,1.0,7.0,QUARTA,MATUTINO,INTEGRAL MT,MALACOCULTURA,BELZ,,7_EAQ
MIRASOL,EAQ,MANHA,2.0,7.0,QUARTA,MATUTINO,INTEGRAL MT,MALACOCULTURA,LAGREZE,,7_EAQ
MIRASOL,EAQ,MANHA,3.0,7.0,QUARTA,MATUTINO,INTEGRAL MT,MALACOCULTURA,ERICA,,7_EAQ
MIRASOL,EAQ,MANHA,4.0,7.0,QUARTA,MATUTINO,INTEGRAL MT,MALACOCULTURA,BELZ,,7_EAQ
MIRASOL,EAQ,MANHA,1.0,7.0,QUINTA,MATUTINO,INTEGRAL MT,ECONOMIA,BELZ,,7_EAQ
MIRASOL,EAQ,MANHA,2.0,7.0,QUINTA,MATUTINO,INTEGRAL MT,ECONOMIA,BELZ,,7_EAQ
MIRASOL,EAQ,MANHA,3.0,7.0,QUINTA,MATUTINO,INTEGRAL MT,BIODIVERSIDADE,BELZ,,7_EAQ
MIRASOL,EAQ,MANHA,4.0,7.0,QUINTA,MATUTINO,INTEGRAL MT,BIODIVERSIDADE,BELZ,,7_EAQ
MIRASOL,EAQ,MANHA,1.0,7.0,SEXTA,MATUTINO,INTEGRAL MT,PSICULTURA I,FABIANO,,7_EAQ
MIRASOL,EAQ,MANHA,2.0,7.0,SEXTA,MATUTINO,INTEGRAL MT,PSICULTURA I,FABIANO,,7_EAQ
MIRASOL,EAQ,MANHA,3.0,7.0,SEXTA,MATUTINO,INTEGRAL MT,PSICULTURA I,FABIANO,,7_EAQ
MIRASOL,EAQ,MANHA,4.0,7.0,SEXTA,MATUTINO,INTEGRAL MT,PSICULTURA I,FABIANO,,7_EAQ
MIRASOL,EAQ,MANHA,3.0,9.0,SEGUNDA,MATUTINO,INTEGRAL MT,ELABORACAO DE PROJETOS,LAGREZE,,9_EAQ
MIRASOL,EAQ,MANHA,4.0,9.0,SEGUNDA,MATUTINO,INTEGRAL MT,ELABORACAO DE PROJETOS,LAGREZE,,9_EAQ
MIRASOL,EAQ,MANHA,1.0,9.0,TERCA,MATUTINO,INTEGRAL MT,TECNOLOGIA DO PESCADO,LUCIENE,,9_EAQ
MIRASOL,EAQ,MANHA,2.0,9.0,TERCA,MATUTINO,INTEGRAL MT,TECNOLOGIA DO PESCADO,LUCIENE,,9_EAQ
MIRASOL,EAQ,MANHA,3.0,9.0,TERCA,MATUTINO,INTEGRAL MT,TECNOLOGIA DO PESCADO,LUCIENE,,9_EAQ
MIRASOL,EAQ,MANHA,4.0,9.0,TERCA,MATUTINO,INTEGRAL MT,TECNOLOGIA DO PESCADO,LUCIENE,,9_EAQ
MIRASOL,EAQ,MANHA,1.0,9.0,QUARTA,MATUTINO,INTEGRAL MT,CARCINOCULTURA II,UBIRATA,,9_EAQ
MIRASOL,EAQ,MANHA,2.0,9.0,QUARTA,MATUTINO,INTEGRAL MT,CARCINOCULTURA II,UBIRATA,,9_EAQ
MIRASOL,EAQ,MANHA,3.0,9.0,QUARTA,MATUTINO,INTEGRAL MT,ORGANIZACAO E GESTAO,THIAGO,,9_EAQ
MIRASOL,EAQ,MANHA,4.0,9.0,QUARTA,MATUTINO,INTEGRAL MT,ORGANIZACAO E GESTAO,THIAGO,,9_EAQ
MIRASOL,EAQ,MANHA,1.0,9.0,QUINTA,MATUTINO,INTEGRAL MT,HIDRAULICA AQUICULTURA,LAGREZE,,9_EAQ
MIRASOL,EAQ,MANHA,2.0,9.0,QUINTA,MATUTINO,INTEGRAL MT,HIDRAULICA AQUICULTURA,LAGREZE,,9_EAQ
MIRASOL,EAQ,MANHA,3.0,9.0,QUINTA,MATUTINO,INTEGRAL MT,HIDRAULICA AQUICULTURA,LAGREZE,,9_EAQ
MIRASOL,EAQ,MANHA,4.0,9.0,QUINTA,MATUTINO,INTEGRAL MT,HIDRAULICA AQUICULTURA,LAGREZE,,9_EAQ
MIRASOL,EAQ,MANHA,3.0,9.0,SEXTA,MATUTINO,INTEGRAL MT,AVALIACAO DO IMPACTO,BELZ,,9_EAQ
MIRASOL,EAQ,MANHA,4.0,9.0,SEXTA,MATUTINO,INTEGRAL MT,AVALIACAO DO IMPACTO,BELZ,,9_EAQ
PONTAL,EAS,TARDE,1.0,1.0,SEGUNDA,VESPERTINO,INTEGRAL TN,INTRODUCAO A EXTENSAO,LILIAN,,1_EAS
PONTAL,EAS,TARDE,2.0,1.0,SEGUNDA,VESPERTINO,INTEGRAL TN,INTRODUCAO A EXTENSAO,LILIAN,,1_EAS
PONTAL,EAS,TARDE,3.0,1.0,SEGUNDA,VESPERTINO,INTEGRAL TN,INTRODUCAO A ENGENHARIA AMBIENTAL,ARMANI,,1_EAS
PONTAL,EAS,TARDE,4.0,1.0,SEGUNDA,VESPERTINO,INTEGRAL TN,INTRODUCAO A ENGENHARIA AMBIENTAL,ARMANI,,1_EAS
PONTAL,EAS,TARDE,5.0,1.0,SEGUNDA,VESPERTINO,INTEGRAL TN,INTRODUCAO A ENGENHARIA AMBIENTAL,ARMANI,,1_EAS
MIRASOL,EAS,TARDE,1.0,1.0,TERCA,VESPERTINO,INTEGRAL TN,GEOMETRIA ANALITICA,BACALHAU,,1_EAS
MIRASOL,EAS,TARDE,2.0,1.0,TERCA,VESPERTINO,INTEGRAL TN,GEOMETRIA ANALITICA,BACALHAU,,1_EAS
MIRASOL,EAS,TARDE,3.0,1.0,TERCA,VESPERTINO,INTEGRAL TN,GEOMETRIA ANALITICA,BACALHAU,,1_EAS
MIRASOL,EAS,TARDE,4.0,1.0,TERCA,VESPERTINO,INTEGRAL TN,INTRODUCAO A ENGENHARIA AMBIENTAL,ARMANI,,1_EAS
PONTAL,EAS,TARDE,1.0,1.0,QUARTA,VESPERTINO,INTEGRAL TN,EXPRESSAO GRAFICA,CINTIA,,1_EAS
PONTAL,EAS,TARDE,2.0,1.0,QUARTA,VESPERTINO,INTEGRAL TN,EXPRESSAO GRAFICA,CINTIA,,1_EAS
PONTAL,EAS,TARDE,3.0,1.0,QUARTA,VESPERTINO,INTEGRAL TN,EXPRESSAO GRAFICA,CINTIA,,1_EAS
PONTAL,EAS,TARDE,4.0,1.0,QUARTA,VESPERTINO,INTEGRAL TN,EXPRESSAO GRAFICA,CINTIA,,1_EAS
PONTAL,EAS,TARDE,1.0,1.0,QUINTA,VESPERTINO,INTEGRAL TN,COMPUTACAO I  LAB INFOR,ROGERIO,,1_EAS
PONTAL,EAS,TARDE,2.0,1.0,QUINTA,VESPERTINO,INTEGRAL TN,COMPUTACAO I  LAB INFOR,ROGERIO,,1_EAS
PONTAL,EAS,TARDE,3.0,1.0,QUINTA,VESPERTINO,INTEGRAL TN,SOCIOLOGIA,MANUELA,,1_EAS
PONTAL,EAS,TARDE,4.0,1.0,QUINTA,VESPERTINO,INTEGRAL TN,SOCIOLOGIA,MANUELA,,1_EAS
PONTAL,EAS,TARDE,5.0,1.0,QUINTA,VESPERTINO,INTEGRAL TN,SOCIOLOGIA,MANUELA,,1_EAS
PONTAL,EAS,TARDE,1.0,1.0,SEXTA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL I,ALEX,,1_EAS
PONTAL,EAS,TARDE,2.0,1.0,SEXTA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL I,ALEX,,1_EAS
PONTAL,EAS,TARDE,3.0,1.0,SEXTA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL I,ALEX,,1_EAS
PONTAL,EAS,TARDE,4.0,1.0,SEXTA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL I,ALEX,,1_EAS
PONTAL,EAS,TARDE,1.0,3.0,SEGUNDA,VESPERTINO,INTEGRAL TN,PROBABILIDADE E ESTATISTICA,HENRIQUE,,3_EAS
PONTAL,EAS,TARDE,2.0,3.0,SEGUNDA,VESPERTINO,INTEGRAL TN,PROBABILIDADE E ESTATISTICA,HENRIQUE,,3_EAS
PONTAL,EAS,TARDE,3.0,3.0,SEGUNDA,VESPERTINO,INTEGRAL TN,ECONOMIA,MANUELA,,3_EAS
PONTAL,EAS,TARDE,4.0,3.0,SEGUNDA,VESPERTINO,INTEGRAL TN,ECONOMIA,MANUELA,,3_EAS
PONTAL,EAS,TARDE,1.0,3.0,TERCA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL III,FARIA,,3_EAS
PONTAL,EAS,TARDE,2.0,3.0,TERCA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL III,FARIA,,3_EAS
PONTAL,EAS,TARDE,3.0,3.0,TERCA,VESPERTINO,INTEGRAL TN,TOPOGRAFIA I,BERNARDINO,,3_EAS
PONTAL,EAS,TARDE,4.0,3.0,TERCA,VESPERTINO,INTEGRAL TN,TOPOGRAFIA I,BERNARDINO,,3_EAS
MIRASOL,EAS,TARDE,1.0,3.0,QUARTA,VESPERTINO,INTEGRAL TN,FISICA II,VIRNEI,,3_EAS
MIRASOL,EAS,TARDE,2.0,3.0,QUARTA,VESPERTINO,INTEGRAL TN,FISICA II,VIRNEI,,3_EAS
MIRASOL,EAS,TARDE,3.0,3.0,QUARTA,VESPERTINO,INTEGRAL TN,FISICA II,VIRNEI,,3_EAS
MIRASOL,EAS,TARDE,4.0,3.0,QUARTA,VESPERTINO,INTEGRAL TN,FISICA EXPERIMENTAL II,EMIR,,3_EAS
MIRASOL,EAS,TARDE,5.0,3.0,QUARTA,VESPERTINO,INTEGRAL TN,FISICA EXPERIMENTAL II,EMIR,,3_EAS
MIRASOL,EAS,NOITE,3.0,3.0,QUARTA,NOTURNO,INTEGRAL TN,FISICA II EAD,VIRNEI,EAD MANTER,3_EAS
PONTAL,EAS,TARDE,1.0,3.0,QUINTA,VESPERTINO,INTEGRAL TN,QUIMICA I,HARUMI,,3_EAS
PONTAL,EAS,TARDE,2.0,3.0,QUINTA,VESPERTINO,INTEGRAL TN,QUIMICA I,HARUMI,,3_EAS
PONTAL,EAS,TARDE,3.0,3.0,QUINTA,VESPERTINO,INTEGRAL TN,QUIMICA I,HARUMI,,3_EAS
PONTAL,EAS,TARDE,4.0,3.0,QUINTA,VESPERTINO,INTEGRAL TN,QUIMICA I,HARUMI,,3_EAS
MIRASOL,EAS,TARDE,1.0,3.0,SEXTA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL III,FARIA,,3_EAS
MIRASOL,EAS,TARDE,2.0,3.0,SEXTA,VESPERTINO,INTEGRAL TN,CALCULO DIFERENCIAL E INTEGRAL III,FARIA,,3_EAS
MIRASOL,EAS,TARDE,3.0,3.0,SEXTA,VESPERTINO,INTEGRAL TN,PLANEJAMENTO URBANO E REGIONAL,SIMONE,,3_EAS
MIRASOL,EAS,TARDE,4.0,3.0,SEXTA,VESPERTINO,INTEGRAL TN,PLANEJAMENTO URBANO E REGIONAL,SIMONE,,3_EAS
MIRASOL,EAS,TARDE,1.0,5.0,SEGUNDA,VESPERTINO,INTEGRAL TN,QUIMICA ANALITICA AMBIENTAL,PEDRO,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,2.0,5.0,SEGUNDA,VESPERTINO,INTEGRAL TN,QUIMICA ANALITICA AMBIENTAL,PEDRO,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,3.0,5.0,SEGUNDA,VESPERTINO,INTEGRAL TN,QUIMICA ANALITICA AMBIENTAL,PEDRO,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,4.0,5.0,SEGUNDA,VESPERTINO,INTEGRAL TN,QUIMICA ANALITICA AMBIENTAL,PEDRO,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,1.0,5.0,TERCA,VESPERTINO,INTEGRAL TN,FENOMENOS DE TRANSPORTE,ROBERTA,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,2.0,5.0,TERCA,VESPERTINO,INTEGRAL TN,FENOMENOS DE TRANSPORTE,ROBERTA,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,3.0,5.0,TERCA,VESPERTINO,INTEGRAL TN,FENOMENOS DE TRANSPORTE,ROBERTA,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,4.0,5.0,TERCA,VESPERTINO,INTEGRAL TN,FENOMENOS DE TRANSPORTE,ROBERTA,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,5.0,5.0,TERCA,VESPERTINO,INTEGRAL TN,FENOMENOS DE TRANSPORTE,ROBERTA,MIRASOLPONTAL,5_EAS
MIRASOL,EAS,TARDE,1.0,5.0,QUARTA,VESPERTINO,INTEGRAL TN,ELETRICIDADE APLICADA A ENGENHARIA,JULIANA,SALA 4 SALA QUE TEM COMPUTADORES,5_EAS
MIRASOL,EAS,TARDE,2.0,5.0,QUARTA,VESPERTINO,INTEGRAL TN,ELETRICIDADE APLICADA A ENGENHARIA,JULIANA,SALA 4,5_EAS
MIRASOL,EAS,TARDE,3.0,5.0,QUARTA,VESPERTINO,INTEGRAL TN,CALCULO NUMERICO,ROGERIO,SALA 4,5_EAS
MIRASOL,EAS,TARDE,4.0,5.0,QUARTA,VESPERTINO,INTEGRAL TN,CALCULO NUMERICO,ROGERIO,SALA 4,5_EAS
PONTAL,EAS,TARDE,1.0,5.0,QUINTA,VESPERTINO,INTEGRAL TN,ESTATISTICA EXPERIMENTAL,SANDRINI,,5_EAS
PONTAL,EAS,TARDE,2.0,5.0,QUINTA,VESPERTINO,INTEGRAL TN,ESTATISTICA EXPERIMENTAL,SANDRINI,,5_EAS
PONTAL,EAS,TARDE,3.0,5.0,QUINTA,VESPERTINO,INTEGRAL TN,CALCULO NUMERICO  LAB INFOR,ROGERIO,,5_EAS
PONTAL,EAS,TARDE,4.0,5.0,QUINTA,VESPERTINO,INTEGRAL TN,CALCULO NUMERICO  LAB INFOR,ROGERIO,,5_EAS
MIRASOL,EAS,TARDE,1.0,5.0,SEXTA,INTEGRAL TN,INTEGRAL TN,ECOLOGIA APLICADA A ENGENHARIA,CESAR SILVA,,5_EAS
MIRASOL,EAS,TARDE,2.0,5.0,SEXTA,INTEGRAL TN,INTEGRAL TN,ECOLOGIA APLICADA A ENGENHARIA,CESAR SILVA,,5_EAS
MIRASOL,EAS,TARDE,3.0,5.0,SEXTA,INTEGRAL TN,INTEGRAL TN,ECOLOGIA APLICADA A ENGENHARIA,CESAR SILVA,,5_EAS
MIRASOL,EAS,TARDE,4.0,5.0,SEXTA,INTEGRAL TN,INTEGRAL TN,ECOLOGIA APLICADA A ENGENHARIA,CESAR SILVA,,5_EAS
MIRASOL,EAS,TARDE,5.0,5.0,SEXTA,INTEGRAL TN,INTEGRAL TN,ECOLOGIA APLICADA A ENGENHARIA,CESAR SILVA,,5_EAS
MIRASOL,EAS,NOITE,2.0,5.0,SEXTA,INTEGRAL TN,INTEGRAL TN,ECOLOGIA APLICADA A ENGENHARIA,CESAR SILVA,,5_EAS
PONTAL,EAS,TARDE,1.0,9.0,SEGUNDA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUAS RESIDUARIAS II,SILVIA,,9_EAS
PONTAL,EAS,TARDE,2.0,9.0,SEGUNDA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUAS RESIDUARIAS II,SILVIA,,9_EAS
PONTAL,EAS,TARDE,3.0,9.0,SEGUNDA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUAS RESIDUARIAS II,SILVIA,,9_EAS
PONTAL,EAS,TARDE,4.0,9.0,SEGUNDA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUAS RESIDUARIAS II,SILVIA,,9_EAS
PONTAL,EAS,TARDE,1.0,9.0,TERCA,VESPERTINO,INTEGRAL TN,DRENAGEM URBANA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,2.0,9.0,TERCA,VESPERTINO,INTEGRAL TN,DRENAGEM URBANA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,3.0,9.0,TERCA,VESPERTINO,INTEGRAL TN,DRENAGEM URBANA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,4.0,9.0,TERCA,VESPERTINO,INTEGRAL TN,DRENAGEM URBANA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,5.0,9.0,TERCA,VESPERTINO,INTEGRAL TN,DRENAGEM URBANA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,1.0,9.0,QUARTA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,2.0,9.0,QUARTA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUA,CAMILA,,9_EAS
PONTAL,EAS,TARDE,3.0,9.0,QUARTA,VESPERTINO,INTEGRAL TN,TRATAMENTO DE AGUA,CAMILA,,9_EAS
